"RelativePath"                                                                , "Width", "Height", "Format"
"coordinateNotify.dds"                                                        , "64"   , "64"    , "dds"
"damage\scorch_01.dds"                                                        , "512"  , "512"   , "dds"
"editor\marker_generic.bmp"                                                   , "32"   , "32"    , "bmp"
"editor\marker_mass.bmp"                                                      , "32"   , "32"    , "bmp"
"effects\AeonBuildSpecular.dds"                                               , "256"  , "256"   , "dds"
"effects\CybranBuildSpecular.dds"                                             , "64"   , "64"    , "dds"
"effects\SeraphimBuildSpecular.dds"                                           , "256"  , "256"   , "dds"
"effects\UEFBuildSpecular.dds"                                                , "64"   , "64"    , "dds"
"engine\anisotropiclookup.dds"                                                , "256"  , "256"   , "dds"
"engine\b_fails_to_load.dds"                                                  , "64"   , "64"    , "dds"
"engine\b_placeholder.dds"                                                    , "64"   , "64"    , "dds"
"engine\BlackSkirt.dds"                                                       , "16"   , "16"    , "dds"
"engine\Cloud01.DDS"                                                          , "1024" , "1024"  , "dds"
"engine\Cloud02.DDS"                                                          , "1024" , "1024"  , "dds"
"engine\Cloud03.DDS"                                                          , "1024" , "1024"  , "dds"
"engine\Cloud04.DDS"                                                          , "1024" , "1024"  , "dds"
"engine\decalMask.dds"                                                        , "512"  , "512"   , "dds"
"engine\editor_gizmo.dds"                                                     , "256"  , "256"   , "dds"
"engine\editor_group_gizmo.dds"                                               , "256"  , "256"   , "dds"
"engine\FoamTest001.dds"                                                      , "512"  , "512"   , "dds"
"engine\FoamTest002.dds"                                                      , "512"  , "512"   , "dds"
"engine\FoamTest003.dds"                                                      , "512"  , "512"   , "dds"
"engine\FoamTest004.dds"                                                      , "512"  , "512"   , "dds"
"engine\GridTest.DDS"                                                         , "512"  , "512"   , "dds"
"engine\insectlookup.dds"                                                     , "256"  , "256"   , "dds"
"engine\SkyBoxTest01.dds"                                                     , "512"  , "512"   , "dds"
"engine\underConstruction.dds"                                                , "256"  , "256"   , "dds"
"engine\waterCubemap.dds"                                                     , "512"  , "512"   , "dds"
"engine\waterFresnel.dds"                                                     , "256"  , "1"     , "dds"
"engine\waterramp_desert.dds"                                                 , "256"  , "4"     , "dds"
"engine\waterramp_desert02.dds"                                               , "256"  , "4"     , "dds"
"engine\waterramp_desert03.dds"                                               , "256"  , "4"     , "dds"
"engine\waterramp_desert03a.dds"                                              , "256"  , "4"     , "dds"
"engine\waterramp_eg.dds"                                                     , "256"  , "4"     , "dds"
"engine\waterramp_evergreen02.dds"                                            , "256"  , "4"     , "dds"
"engine\waterramp_FS2.dds"                                                    , "256"  , "4"     , "dds"
"engine\waterramp_lava.dds"                                                   , "256"  , "4"     , "dds"
"engine\waterramp_redrock.dds"                                                , "256"  , "4"     , "dds"
"engine\waterramp_redrock01.dds"                                              , "256"  , "4"     , "dds"
"engine\waterramp_redrock02.dds"                                              , "256"  , "4"     , "dds"
"engine\waterramp_redrock03.dds"                                              , "256"  , "4"     , "dds"
"engine\waterramp_tropical.dds"                                               , "256"  , "4"     , "dds"
"engine\waterramp_tropical02.dds"                                             , "256"  , "4"     , "dds"
"engine\waterramp_tundra.dds"                                                 , "256"  , "4"     , "dds"
"engine\waterramp.dds"                                                        , "256"  , "4"     , "dds"
"engine\waterramp03_Eop5.dds"                                                 , "256"  , "4"     , "dds"
"engine\waterrampSwamp01.dds"                                                 , "256"  , "4"     , "dds"
"engine\waterrampSwamp02.dds"                                                 , "256"  , "4"     , "dds"
"engine\waves.dds"                                                            , "256"  , "256"   , "dds"
"engine\waves000.dds"                                                         , "256"  , "256"   , "dds"
"engine\waves001.dds"                                                         , "256"  , "256"   , "dds"
"engine\waves6.dds"                                                           , "256"  , "256"   , "dds"
"engine\waves7.dds"                                                           , "512"  , "512"   , "dds"
"engine\wavesbump.dds"                                                        , "256"  , "256"   , "dds"
"environment\blackbackground.dds"                                             , "16"   , "16"    , "dds"
